session,date
14-03-k01-01,26/7/2021
14-03-k01-02,27/7/2021
14-03-k01-03,28/7/2021
14-03-k01-04,29/7/2021
14-04-01-01,13/9/2021
14-04-01-02,14/9/2021
14-04-01-03,15/9/2021
14-04-01-04,20/9/2021
14-04-01-05,21/9/2021
14-04-01-06,22/9/2021
14-04-01-07,23/9/2021
14-04-01-08,27/9/2021
14-04-01-09,28/9/2021
14-04-01-10,29/9/2021
14-04-01-11,30/9/2021
14-04-01-12,4/10/2021
14-04-01-13,5/10/2021
14-04-01-14,6/10/2021
14-04-01-15,7/10/2021
14-04-01-16,11/10/2021
14-04-01-17,12/10/2021
14-04-02-01,25/10/2021
14-04-02-02,26/10/2021
14-04-02-03,27/10/2021
14-04-02-04,28/10/2021
14-04-02-05,29/10/2021
14-04-02-06,1/11/2021
14-04-02-07,2/11/2021
14-04-02-08,3/11/2021
14-04-02-09,8/11/2021
14-04-02-10,9/11/2021
14-04-02-11,10/11/2021
14-04-02-12,11/11/2021
14-04-02-13,15/11/2021
14-04-02-14,16/11/2021
14-04-02-15,17/11/2021
14-04-02-16,18/11/2021
14-04-02-17,22/11/2021
14-04-02-18,23/11/2021
14-04-02-19,24/11/2021
14-04-02-20,25/11/2021
14-04-02-21,29/11/2021
14-04-02-22,30/11/2021
14-04-02-23,1/12/2021
14-04-02-24,2/12/2021
14-04-02-25,6/12/2021
14-04-02-26,7/12/2021
14-04-02-27,8/12/2021
14-04-02-28,9/12/2021
14-04-02-29,13/12/2021
14-04-02-30,14/12/2021
14-04-02-31,15/12/2021
14-04-02-32,16/12/2021
14-04-02-33,20/12/2021
14-04-k01-01,20/1/2022
14-05-01-01,28/2/2022
14-05-01-02,1/3/2022
14-05-01-03,2/3/2022
14-05-01-04,3/3/2022
14-05-01-05,7/3/2022
14-05-01-06,8/3/2022
14-05-01-07,9/3/2022
14-05-01-08,10/3/2022
14-05-01-09,14/3/2022
14-05-01-10,15/3/2022
14-05-01-11,16/3/2022
14-05-01-12,17/3/2022
14-05-01-13,21/3/2022
14-05-01-14,22/3/2022
14-05-01-15,23/3/2022
14-05-01-16,24/3/2022
14-05-k01-01,11/4/2022
14-05-02-01,18/7/2022
14-05-02-02,19/7/2022
14-05-02-03,20/7/2022
14-05-02-04,21/7/2022
14-05-02-05,25/7/2022
14-05-02-06,26/7/2022
14-05-02-07,27/7/2022
14-05-02-08,28/7/2022
14-05-02-09,1/8/2022
14-05-02-10,2/8/2022
14-05-02-11,3/8/2022
14-05-02-12,4/8/2022
14-05-03-01,3/10/2022
14-05-03-02,4/10/2022
14-05-03-03,5/10/2022
14-05-03-04,6/10/2022
